phrase,n,freq_books,rank,mi,lemma_key,spoken_words,auto_keep,auto_reason,keep,notes
qui aurait pu,3,214240,8191,12.74,qui avoir pouvoir,yes,yes,,,
je ne sais pas ce,5,214226,8192,23.49,je ne savoir pas ce,yes,no,fragment,,
pour répondre à,3,214182,8193,8.74,pour répondre à,yes,no,fragment,,
cadre de l',3,214015,8194,5.64,cadre de le,yes,no,fragment,,
heure plus tard,3,213993,8195,14.36,heure plus tard,yes,yes,,,
lutte contre la,3,213929,8196,12.41,lutte contre le,yes,no,fragment,,
à la date,3,213925,8197,6.98,à le date,yes,yes,,,
tant bien que,3,213921,8198,9.56,tant bien que,yes,no,fragment,,
les yeux au ciel,4,213886,8199,19.46,le oeil au ciel,yes,yes,,,
je ne les,3,213857,8200,3.35,je ne le,yes,no,fragment,,
de la soirée,3,213850,8201,6.29,de le soirée,yes,no,fragment,,
d' un de,3,213828,8202,-0.12,de un de,yes,no,fragment; loose,,
alors que nous,3,213804,8203,7.63,alors que nous,yes,yes,,,
il existe des,3,213775,8204,8.14,il exister un,yes,no,fragment,,
au fait que,3,213720,8205,6,au faire que,yes,no,fragment,,
sein d' une,3,213707,8206,8.57,sein de un,yes,no,fragment,,
et en même temps,4,213693,8207,13.14,et en même temps,yes,no,fragment,,
à l' intérieur de la,5,213684,8208,16.28,à le intérieur de le,yes,no,fragment,,
grâce à un,3,213596,8209,7.12,grâce à un,yes,no,fragment,,
ne fait que,3,213554,8210,5.96,ne faire que,yes,no,fragment,,
application de l',3,213548,8211,6.42,application de le,yes,no,fragment,,
avait quelque chose,3,213533,8212,13.22,avoir quelque chose,yes,yes,,,
tant bien que mal,4,213521,8213,20.9,tant bien que mal,yes,yes,,,
après la mort de,4,213404,8214,13.64,après le mort de,yes,no,fragment,,
et dont le,3,213379,8215,3.93,et dont le,yes,no,fragment; written style,,
l ' Église,3,213376,8216,,l ' Église,no,no,rare word,,
l' activité de,3,213372,8217,5.77,le activité de,yes,no,fragment,,
par le gouvernement,3,213354,8218,8.71,par le gouvernement,yes,yes,,,
tous les moyens,3,213282,8219,11.57,tout le moyen,yes,yes,,,
les conditions d',3,213211,8220,7.61,le condition de,yes,no,fragment,,
chacun de ses,3,213175,8221,8.11,chacun de son,yes,no,fragment,,
le rôle des,3,213162,8222,7.06,le rôle un,yes,no,fragment,,
ou à un,3,213046,8223,3.11,ou à un,yes,no,fragment,,
dans une société,3,213032,8224,8.04,dans un société,yes,yes,,,
l ' entrée,3,213008,8225,,l ' entrée,no,no,rare word,,
dans un sens,3,212881,8226,7.17,dans un sens,yes,yes,,,
et que l' on,4,212165,8227,8.86,et que le on,yes,no,fragment,,
tout ce que vous,4,212136,8228,13.55,tout ce que vous,yes,yes,,,
il est important de,4,212107,8229,13.04,il être important de,yes,no,fragment,,
de ce point de vue,5,211877,8230,21.67,de ce point de vue,yes,no,fragment,,
il faut que tu,4,210926,8231,15.6,il falloir que tu,yes,yes,,,
ce que tu fais,4,210804,8232,18.66,ce que tu faire,yes,yes,,,
à l' instar de,4,210773,8233,14.55,à le instar de,no,no,fragment; rare word,,
ne l' ai pas,4,210694,8234,12.42,ne le avoir pas,yes,yes,,,
la prise en compte,4,210109,8235,18.25,le prise en compte,yes,yes,,,
au centre de la,4,209737,8236,12.18,au centre de le,yes,no,fragment,,
dans les bras de,4,208640,8237,11.62,dans le bras de,yes,no,fragment,,
à la hauteur de,4,208635,8238,12.07,à le hauteur de,yes,no,fragment,,
dans les deux cas,4,208612,8239,15.6,dans le deux cas,yes,yes,,,
ouvert du lundi au vendredi,5,208394,8240,37.97,ouvert du lundi au vendredi,yes,yes,,,
je ne l' ai pas,5,208373,8241,19.61,je ne le avoir pas,yes,yes,,,
dans le cas d',4,208112,8242,12.32,dans le cas de,yes,no,fragment,,
il est difficile de,4,207734,8243,12.96,il être difficile de,yes,no,fragment,,
je sais que tu,4,207711,8244,17.14,je savoir que tu,yes,yes,,,
la mise en place de,5,207566,8245,21.68,le mise en place de,yes,no,fragment,,
l' entrée de la,4,207492,8246,10.72,le entrée de le,yes,no,fragment,,
la mise en place d',5,206875,8247,23.58,le mise en place de,yes,no,fragment,,
il ne pouvait pas,4,206537,8248,15.28,il ne pouvoir pas,yes,yes,,,
à l ' autre,4,205302,8249,,à l ' autre,no,no,rare word,,
que la plupart des,4,205028,8250,13.61,que le plupart un,yes,no,fragment,,
se dirigea vers la,4,204835,8251,20.97,se dirigea vers le,no,no,fragment; rare word,,
la forme d' une,4,204669,8252,12.49,le forme de un,yes,no,fragment,,
ne l' a pas,4,204183,8253,10.66,ne le avoir pas,yes,yes,,,
au sein d' une,4,204138,8254,15.91,au sein de un,yes,no,fragment; written style,,
ce que je peux,4,204074,8255,16.33,ce que je pouvoir,yes,yes,,,
en ce qui concerne la,5,203479,8256,22.2,en ce qui concerner le,yes,no,fragment,,
peu de temps après,4,203321,8257,16.91,peu de temps après,yes,yes,,,
que je l' ai,4,203128,8258,11.64,que je le avoir,yes,yes,,,
tout ce que tu,4,202867,8259,14.41,tout ce que tu,yes,yes,,,
à la fin de l',5,202625,8260,15.11,à le fin de le,yes,no,fragment,,
l' autre côté du,4,202585,8261,16.39,le autre côté du,yes,no,fragment,,
de l ' eau,4,202525,8262,,de l ' eau,no,no,fragment; rare word,,
les membres de la,4,202100,8263,10.82,le membre de le,yes,no,fragment,,
de ce que je,4,201741,8264,8.4,de ce que je,yes,no,fragment,,
de la Cour de,4,201525,8265,,de le Cour de,no,no,fragment; rare word,,
l' une de ses,4,201160,8266,8.05,le un de son,yes,no,fragment,,
à la fois de,4,201017,8267,8.14,à le fois de,yes,no,fragment,,
de l ' entreprise,4,200489,8268,,de l ' entreprise,no,no,fragment; rare word,,
à partir d' un,4,199529,8269,12.66,à partir de un,yes,no,fragment,,
de l ' histoire,4,199500,8270,,de l ' histoire,no,no,fragment; rare word,,
du fait de la,4,198632,8271,8.18,du faire de le,yes,no,fragment,,
